,OFFER,RETAILER,BRAND,RECEIPTS,CATEGORY_ID,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,combined_text,similarity_score
2393,,,house wine,1796.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2394,,,yoplait gogurt,1795.0,e246975c-322e-4e31-aa4b-a22eabe581d1,yogurt,dairy,,0.0
2395,,,yoplait gogurt,1031.0,e246975c-322e-4e31-aa4b-a22eabe581d1,yogurt,dairy,,0.0
2396,,,milk dud,1787.0,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8,candy,snack,,0.0
2397,,,milk dud,1045.0,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8,candy,snack,,0.0
2398,,,tuli,1786.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2399,,,lucky duck,1785.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2400,,,great value bleach effect,1784.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2401,,,axe,1781.0,abe5c72f-1b1e-4d84-876a-bb584260c247,oral care,health wellness,,0.0
2402,,,axe,859.0,03577242-2690-4bad-916c-eb7d6c2e0ee2,deodorant antiperspirant,health wellness,,0.0
2403,,,axe,440.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2404,,,axe,109.0,e9535290-dc96-45be-bd4a-6e687880a059,hair care,health wellness,,0.0
2405,,,eternal,1778.0,aecbba3a-7958-4b78-8a93-9215b963e9a7,water,beverage,,0.0
2406,,,tropical,1776.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2407,,,malt o meal,1775.0,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4,cereal granola toaster pastry,pantry,,0.0
2408,,,vita divine,1767.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2409,,,deer park,1765.0,aecbba3a-7958-4b78-8a93-9215b963e9a7,water,beverage,,0.0
2410,,,drake organic spiked ice,1763.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2411,,,la banderita,1760.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,,0.0
2412,,,la banderita,474.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,,0.0
2413,,,la banderita,20.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2414,,,bigelow,1758.0,f78c4b56-a1a6-4972-a0b3-6514ad98fd27,tea,beverage,,0.0
2415,,,goodfellow and co,1757.0,539953fe-50bf-4a00-8a21-c64752d6ed7e,hair removal,health wellness,,0.0
2416,,,long trail,1750.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2417,,,black box,1748.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2418,,,truly,1744.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2419,,,truly,465.0,6b770f8d-09b5-4491-8bbb-31ee38645b20,malt beverage,alcohol,,0.0
2420,,,kronenbourg 1664,1741.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2421,,,seagrams gin,1734.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2422,,,seagrams gin,33.0,6b770f8d-09b5-4491-8bbb-31ee38645b20,malt beverage,alcohol,,0.0
2423,,,crook and marker spiked tea variety pack,1718.0,6b770f8d-09b5-4491-8bbb-31ee38645b20,malt beverage,alcohol,,0.0
2424,,,bev,1715.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2425,,,tecate,1712.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2426,,,alfaros bread,1712.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,,0.0
2427,,,baken ets,1707.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,,0.0
2428,,,baken ets,74.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,,0.0
2429,,,chateau bellevue,1705.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2430,,,klean,1704.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2431,,,honest,1697.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2432,,,honest,1433.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2433,,,honest,567.0,bd2e2509-b9bb-4c08-bf4b-c947b5eedd46,diapering,baby toddler,,0.0
2434,,,honest,101.0,f78c4b56-a1a6-4972-a0b3-6514ad98fd27,tea,beverage,,0.0
2435,,,honest,84.0,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c,household supply,household supply,,0.0
2436,,,honest,39.0,630680d7-ca78-4e91-b27d-e90afa21df2f,potty training,baby toddler,,0.0
2437,,,honest,12.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2438,,,ghost energy,1696.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,,0.0
2439,,,pibb xtra,1696.0,b3028295-932d-49df-afbc-52dce9cce8c7,carbonated soft drink,beverage,,0.0
2440,,,chum churum,1696.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2441,,,mr butterworths,1695.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,,0.0
2442,,,mm candy,1693.0,38160828-1029-4505-9849-673773c5fad3,frozen dessert,frozen,,0.0
2443,,,pop secret,1691.0,3dcfe6dc-3445-4ba7-b11e-8238a5d41be7,puffed snack,snack,,0.0
2444,,,tum,1690.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,,0.0
2445,,,qtips,1688.0,a6e7094e-57a5-48f9-8fe8-ca663356e5cb,first aid,health wellness,,0.0
2446,,,qtips,476.0,abe5c72f-1b1e-4d84-876a-bb584260c247,oral care,health wellness,,0.0
2447,,,qtips,244.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2448,,,left hand brewing company,1681.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2449,,,two road,1673.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2450,,,arnold,1673.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,,0.0
2451,,,ciderboys,1670.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2452,,,canadian mist,1664.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2453,,,rainier,1661.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2454,,,weihenstephan,1660.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2455,,,pantene,1660.0,e9535290-dc96-45be-bd4a-6e687880a059,hair care,health wellness,,0.0
2456,,,mac and jack,1651.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2457,,,two good,1651.0,e246975c-322e-4e31-aa4b-a22eabe581d1,yogurt,dairy,,0.0
2458,,,sun ice,1642.0,6b770f8d-09b5-4491-8bbb-31ee38645b20,malt beverage,alcohol,,0.0
2459,,,goodbaths,1635.0,03577242-2690-4bad-916c-eb7d6c2e0ee2,deodorant antiperspirant,health wellness,,0.0
2460,,,mamamango,1629.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2461,,,rold gold,1628.0,e2600179-20fc-4d9e-8cfe-7a564a3e4518,pretzel,snack,,0.0
2462,,,amys,1625.0,f72793bd-721f-4d0f-8086-3b211446dd4b,frozen meal,frozen,,0.0
2463,,,mr bairds,1616.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,,0.0
2464,,,mr bairds,962.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,,0.0
2465,,,everspring,1607.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2466,,,ranch rider spirit co,1601.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2467,,,medalla light,1594.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2468,,,sugarlands shine appalachian,1593.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2469,,,buchanan de luxe,1586.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2470,,,swiss miss,1581.0,e3b6f1f0-de8b-4625-b678-56cfd8747cbe,milk,dairy,,0.0
2471,,,muszynianka,1580.0,b3028295-932d-49df-afbc-52dce9cce8c7,carbonated soft drink,beverage,,0.0
2472,,,on the border,1580.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,,0.0
2473,,,on the border,735.0,451e3832-bc4c-4dd3-bbbb-5e33d134a765,dip salsa,snack,,0.0
2474,,,on the border,15.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2475,,,funables,1575.0,0f6c46e7-8a8c-422e-8005-7d178a688da5,fruit vegetable snack,snack,,0.0
2476,,,dermasil lab,1573.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2477,,,pollyo,1569.0,d45a8f68-34d2-4128-a807-7b4fcf119a17,egg,dairy,,0.0
2478,,,heavy sea,1568.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2479,,,sun chip,1559.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,,0.0
2480,,,malibu,1556.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2481,,,laudato,1555.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2482,,,member mark,1553.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2483,,,member mark,1069.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2484,,,sea dog bluepaw,1548.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2485,,,aeropostale,1547.0,03577242-2690-4bad-916c-eb7d6c2e0ee2,deodorant antiperspirant,health wellness,,0.0
2486,,,woodchuck,1545.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2487,,,yardley london,1542.0,03577242-2690-4bad-916c-eb7d6c2e0ee2,deodorant antiperspirant,health wellness,,0.0
2488,,,yocrunch,1538.0,e246975c-322e-4e31-aa4b-a22eabe581d1,yogurt,dairy,,0.0
2489,,,pennsylvania dutch,1534.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2490,,,hpnotiq,1530.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2491,,,albino armani,1529.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2492,,,chum churum soon hari,1514.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2493,,,bisquick,1512.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2494,,,bisquick,30.0,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4,cereal granola toaster pastry,pantry,,0.0
2495,,,bisquick,16.0,10fb25a2-7e2f-4a7d-8976-f11b700d6e47,refrigerated dough,dairy,,0.0
2496,,,libby,1507.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2497,,,libby,24.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,,0.0
2498,,,ripple,1504.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2499,,,ripple,161.0,e3b6f1f0-de8b-4625-b678-56cfd8747cbe,milk,dairy,,0.0
2500,,,bimbo sweet baked good,1503.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,,0.0
2501,,,mystic reef hard seltzer variety pack,1502.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2502,,,big ditch brewing company,1501.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2503,,,eos,1501.0,539953fe-50bf-4a00-8a21-c64752d6ed7e,hair removal,health wellness,,0.0
2504,,,country crock original,1495.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2505,,,ninkasi brewing company,1495.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2506,,,ninkasi brewing company,12.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2507,,,leroux,1494.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2508,,,hall ranch,1487.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2509,,,hall ranch,16.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2510,,,dg smart and simple,1485.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2511,,,uncle nearest 1884,1485.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2512,,,good plenty,1484.0,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8,candy,snack,,0.0
2513,,,good plenty,178.0,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8,candy,snack,,0.0
2514,,,revel stoke,1477.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2515,,,claussen,1475.0,397f9b41-5196-4e19-96e1-e8783201b375,prepared meal,deli bakery,,0.0
2516,,,litehouse,1474.0,0619fda2-db1e-42c4-87ef-457ae91fca72,cheese,dairy,,0.0
2517,,,litehouse,15.0,a2108cb6-b451-46ae-997b-a11bc7ab213a,dressing,pantry,,0.0
2518,,,natural light,1466.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2519,,,natural light,1261.0,6b770f8d-09b5-4491-8bbb-31ee38645b20,malt beverage,alcohol,,0.0
2520,,,natural light,534.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2521,,,ace,1452.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2522,,,brita pop up,1452.0,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c,household supply,household supply,,0.0
2523,,,arnold brownberry oroweat bread,1446.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,,0.0
2524,,,purell,1442.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2525,,,penny smart,1438.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2526,,,enfamil,1437.0,0d566b71-e49a-4b83-a340-25b921e8437f,baby bathing,baby toddler,,0.0
2527,,,enfamil,332.0,2817339f-b657-4b96-a7dc-c35b8ec78f3e,baby health,baby toddler,,0.0
2528,,,enfamil,78.0,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3,makeup,beauty,,0.0
2529,,,enfamil,36.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,,0.0
2530,,,zywiec,1434.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2531,,,betty crocker other,1433.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,,0.0
2532,,,betty crocker other,110.0,0f6c46e7-8a8c-422e-8005-7d178a688da5,fruit vegetable snack,snack,,0.0
2533,,,secret,1433.0,03577242-2690-4bad-916c-eb7d6c2e0ee2,deodorant antiperspirant,health wellness,,0.0
2534,,,famous amos,1432.0,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8,candy,snack,,0.0
2535,,,famous amos,34.0,ee7d461c-afec-4dd8-b06e-c3de3ea040fe,cooky,snack,,0.0
2536,,,pro sanitize,1432.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2537,,,devour,1412.0,f72793bd-721f-4d0f-8086-3b211446dd4b,frozen meal,frozen,,0.0
2538,,,rogue,1410.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2539,,,dripping spring,1402.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2540,,,genesee,1399.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2541,,,aussie,1397.0,e9535290-dc96-45be-bd4a-6e687880a059,hair care,health wellness,,0.0
2542,,,hint,1395.0,aecbba3a-7958-4b78-8a93-9215b963e9a7,water,beverage,,0.0
2543,,,elf,1385.0,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3,makeup,beauty,,0.0
2544,,,elf,292.0,16b45293-45ba-4121-bc5c-605c7fa3c510,cosmetic tool,beauty,,0.0
2545,,,elf,12.0,0a09521d-71e3-40b7-bd43-0e3654e91b2b,skin care,health wellness,,0.0
2546,,,elf,11.0,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3,makeup,beauty,,0.0
2547,,,cheezit puffd,1384.0,6c9b520a-9049-417a-8487-7053b9d2d8f8,cracker,snack,,0.0
2548,,,cheezit puffd,94.0,3dcfe6dc-3445-4ba7-b11e-8238a5d41be7,puffed snack,snack,,0.0
2549,,,reddiwip,1384.0,451e3832-bc4c-4dd3-bbbb-5e33d134a765,dip salsa,snack,,0.0
2550,,,member mark ultimate clean,1384.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2551,,,ketel one,1384.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2552,,,troegs,1383.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2553,,,vistamar,1381.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2554,,,dr pepper caffeine free,1380.0,b3028295-932d-49df-afbc-52dce9cce8c7,carbonated soft drink,beverage,,0.0
2555,,,viva,1371.0,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c,household supply,household supply,,0.0
2556,,,brew dr,1369.0,f78c4b56-a1a6-4972-a0b3-6514ad98fd27,tea,beverage,,0.0
2557,,,brew dr,462.0,b3028295-932d-49df-afbc-52dce9cce8c7,carbonated soft drink,beverage,,0.0
2558,,,fat head,1367.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2559,,,rum chata,1364.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2560,,,frappa chata,1362.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2561,,,3 amigo,1361.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2562,,,montejo,1360.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2563,,,athena,1359.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2564,,,founder premium hard seltzer ma agave vari,1358.0,6b770f8d-09b5-4491-8bbb-31ee38645b20,malt beverage,alcohol,,0.0
2565,,,olipop,1358.0,b3028295-932d-49df-afbc-52dce9cce8c7,carbonated soft drink,beverage,,0.0
2566,,,tazo,1355.0,f78c4b56-a1a6-4972-a0b3-6514ad98fd27,tea,beverage,,0.0
2567,,,tazo,412.0,84011112-b553-402a-9950-998bf7affd63,drink mix,beverage,,0.0
2568,,,tazo,408.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2569,,,mionetto,1354.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2570,,,country boy brewing,1354.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2571,,,country boy brewing,273.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2572,,,royal langnickel,1352.0,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3,makeup,beauty,,0.0
2573,,,progresso other,1350.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,,0.0
2574,,,progresso other,113.0,c1348b24-5f57-4ad6-bc81-a114368acb19,soup broth,pantry,,0.0
2575,,,tang,1347.0,b3028295-932d-49df-afbc-52dce9cce8c7,carbonated soft drink,beverage,,0.0
2576,,,st bernardus,1346.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2577,,,great grain,1345.0,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4,cereal granola toaster pastry,pantry,,0.0
2578,,,mother earth,1339.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2579,,,bold rock,1336.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2580,,,bold rock,1283.0,6b770f8d-09b5-4491-8bbb-31ee38645b20,malt beverage,alcohol,,0.0
2581,,,cream of wheat,1333.0,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4,cereal granola toaster pastry,pantry,,0.0
2582,,,welches fruit n yogurt,1330.0,0f6c46e7-8a8c-422e-8005-7d178a688da5,fruit vegetable snack,snack,,0.0
2583,,,flying dog,1328.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2584,,,la choy,1328.0,e88983eb-6ae9-40e6-97a9-e77a2294c3fe,sauce marinade,pantry,,0.0
2585,,,banza,1322.0,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8,candy,snack,,0.0
2586,,,banza,31.0,a9710fa3-a33a-4a0c-9d80-9280f0a10977,pasta noodle,pantry,,0.0
2587,,,late july,1318.0,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8,candy,snack,,0.0
2588,,,ocean spray juice,1317.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2589,,,nabisco,1317.0,ee7d461c-afec-4dd8-b06e-c3de3ea040fe,cooky,snack,,0.0
2590,,,nabisco,197.0,6c9b520a-9049-417a-8487-7053b9d2d8f8,cracker,snack,,0.0
2591,,,rockstar energy drink,1316.0,b7588815-8b82-46c4-aa05-cc96a0d1524d,energy drink,beverage,,0.0
2592,,,conte priola,1315.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2593,,,nyx professional makeup,1314.0,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3,makeup,beauty,,0.0
2594,,,playa vallarta,1313.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2595,,,pliny the elder,1312.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2596,,,prancer and vixen,1308.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2597,,,the home store,1308.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2598,,,muscle milk,1299.0,e3b6f1f0-de8b-4625-b678-56cfd8747cbe,milk,dairy,,0.0
2599,,,muscle milk,99.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,,0.0
2600,,,muscle milk,41.0,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3,makeup,beauty,,0.0
2601,,,myerss,1298.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2602,,,skatter brain,1297.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2603,,,florida natural,1297.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2604,,,florida natural,868.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2605,,,general mill cereal,1295.0,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4,cereal granola toaster pastry,pantry,,0.0
2606,,,manwich,1289.0,c1348b24-5f57-4ad6-bc81-a114368acb19,soup broth,pantry,,0.0
2607,,,flying dog variety pack,1285.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2608,,,jose cuervo especial,1284.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2609,,,head and shoulder,1284.0,e9535290-dc96-45be-bd4a-6e687880a059,hair care,health wellness,,0.0
2610,,,ozarka,1283.0,aecbba3a-7958-4b78-8a93-9215b963e9a7,water,beverage,,0.0
2611,,,carbliss,1278.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2612,,,hennessy,1273.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2613,,,evan williams,1266.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2614,,,uptown cocktail,1265.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2615,,,starr hill variety pack,1260.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2616,,,desert door,1258.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2617,,,mozart,1256.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2618,,,devil backbone distilling co,1253.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2619,,,avid,1252.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2620,,,jingle mingle,1251.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2621,,,snack factory,1247.0,0f6c46e7-8a8c-422e-8005-7d178a688da5,fruit vegetable snack,snack,,0.0
2622,,,sixpoint higher volume variety pack,1245.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2623,,,wish,1245.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2624,,,elijah craig,1242.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2625,,,rice a roni,1241.0,91d3f006-deed-4553-83bb-1719543a1689,rice grain,pantry,,0.0
2626,,,rice a roni,13.0,28c3d049-7728-41c4-8933-fc8c2f223ca0,trail mix,snack,,0.0
2627,,,greyrock,1238.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2628,,,good 2 grow,1238.0,87459c51-6dc1-4064-9fb4-51e399187f2c,fruit juice,beverage,,0.0
2629,,,good 2 grow,60.0,aecbba3a-7958-4b78-8a93-9215b963e9a7,water,beverage,,0.0
2630,,,radius,1237.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2631,,,homebase,1235.0,47fae368-9b64-40be-82c9-898f953e9d66,bath body,health wellness,,0.0
2632,,,amici,1233.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2633,,,bitburger,1232.0,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c,beer,alcohol,,0.0
2634,,,prototype,1231.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
2635,,,devil river,1230.0,2def9983-9d56-4872-a5b9-7aa8bbc2331c,spirit,alcohol,,0.0
2636,,,crimson thread,1223.0,ca1c0f4d-3efc-4978-8357-69862996f416,wine,alcohol,,0.0
